"year","temp"
1995,61.5017534246577
1996,61.0806557377049
1997,62.1517808219178
1998,47.1848767123288
1999,62.0299726027399
2000,62.250218579235
2001,61.7873424657535
2002,60.4753972602739
2003,61.3215342465753
2004,62.5184699453553
2005,62.7129315068494
2006,62.6749041095891
2007,62.8199452054794
2008,60.9920765027322
2009,62.9586301369863
2010,62.7143561643836
2011,62.5388493150685
2012,62.2556830601093
2013,63.1157260273974
2014,63.038794520548
2015,62.1780327868852
2016,61.8107650273224
2017,63.3666301369863
2018,61.4858630136986
2019,61.2876164383562
2020,68.7164179104477
